minbound,shape,unit
-40,16,10
-100,9,10
0,5,10

IX,IY,IZ,value
0,0,0,0
0,0,1,0
0,0,2,0
0,0,3,0
0,0,4,0
0,1,0,0
0,1,1,0.333333
0,1,2,0.375
0,1,3,0.333333
0,1,4,0
0,2,0,0
0,2,1,0.291667
0,2,2,0.333333
0,2,3,0.291667
0,2,4,0
0,3,0,0
0,3,1,0.25
0,3,2,0.291667
0,3,3,0.25
0,3,4,0
0,4,0,0
0,4,1,0.208333
0,4,2,0.25
0,4,3,0.208333
0,4,4,0
0,5,0,0
0,5,1,0.166667
0,5,2,0.208333
0,5,3,0.166667
0,5,4,0
0,6,0,0
0,6,1,0.125
0,6,2,0.166667
0,6,3,0.125
0,6,4,0
0,7,0,0
0,7,1,0.0833333
0,7,2,0.125
0,7,3,0.0833333
0,7,4,0
0,8,0,0
0,8,1,0.0416667
0,8,2,0.0833333
0,8,3,0.0416667
0,8,4,0
1,0,0,0
1,0,1,0.333333
1,0,2,0.375
1,0,3,0.333333
1,0,4,0
1,1,0,0.333333
1,1,1,0.375
1,1,2,0.416667
1,1,3,0.375
1,1,4,0.333333
1,2,0,0.291667
1,2,1,0.333333
1,2,2,0.375
1,2,3,0.333333
1,2,4,0.291667
1,3,0,0.25
1,3,1,0.291667
1,3,2,0.333333
1,3,3,0.291667
1,3,4,0.25
1,4,0,0.208333
1,4,1,0.25
1,4,2,0.291667
1,4,3,0.25
1,4,4,0.208333
1,5,0,0.166667
1,5,1,0.208333
1,5,2,0.25
1,5,3,0.208333
1,5,4,0.166667
1,6,0,0.125
1,6,1,0.166667
1,6,2,0.208333
1,6,3,0.166667
1,6,4,0.125
1,7,0,0.0833333
1,7,1,0.125
1,7,2,0.166667
1,7,3,0.125
1,7,4,0.0833333
1,8,0,0.0416667
1,8,1,0.0833333
1,8,2,0.125
1,8,3,0.0833333
1,8,4,0.0416667
2,0,0,0
2,0,1,0.375
2,0,2,0.416667
2,0,3,0.375
2,0,4,0
2,1,0,0.375
2,1,1,0.416667
2,1,2,0.458333
2,1,3,0.416667
2,1,4,0.375
2,2,0,0.333333
2,2,1,0.375
2,2,2,0.416667
2,2,3,0.375
2,2,4,0.333333
2,3,0,0.291667
2,3,1,0.333333
2,3,2,0.375
2,3,3,0.333333
2,3,4,0.291667
2,4,0,0.25
2,4,1,0.291667
2,4,2,0.333333
2,4,3,0.291667
2,4,4,0.25
2,5,0,0.208333
2,5,1,0.25
2,5,2,0.291667
2,5,3,0.25
2,5,4,0.208333
2,6,0,0.166667
2,6,1,0.208333
2,6,2,0.25
2,6,3,0.208333
2,6,4,0.166667
2,7,0,0.125
2,7,1,0.166667
2,7,2,0.208333
2,7,3,0.166667
2,7,4,0.125
2,8,0,0.0833333
2,8,1,0.125
2,8,2,0.166667
2,8,3,0.125
2,8,4,0.0833333
3,0,0,0
3,0,1,0.416667
3,0,2,0.458333
3,0,3,0.416667
3,0,4,0
3,1,0,0.416667
3,1,1,0.458333
3,1,2,0.5
3,1,3,0.458333
3,1,4,0.416667
3,2,0,0.375
3,2,1,0.416667
3,2,2,0.458333
3,2,3,0.416667
3,2,4,0.375
3,3,0,0.333333
3,3,1,0.375
3,3,2,0.416667
3,3,3,0.375
3,3,4,0.333333
3,4,0,0.291667
3,4,1,0.333333
3,4,2,0.375
3,4,3,0.333333
3,4,4,0.291667
3,5,0,0.25
3,5,1,0.291667
3,5,2,0.333333
3,5,3,0.291667
3,5,4,0.25
3,6,0,0.208333
3,6,1,0.25
3,6,2,0.291667
3,6,3,0.25
3,6,4,0.208333
3,7,0,0.166667
3,7,1,0.208333
3,7,2,0.25
3,7,3,0.208333
3,7,4,0.166667
3,8,0,0.125
3,8,1,0.166667
3,8,2,0.208333
3,8,3,0.166667
3,8,4,0.125
4,0,0,0
4,0,1,0.458333
4,0,2,0.5
4,0,3,0.458333
4,0,4,0
4,1,0,0.458333
4,1,1,0.5
4,1,2,0.541667
4,1,3,0.5
4,1,4,0.458333
4,2,0,0.416667
4,2,1,0.458333
4,2,2,0.5
4,2,3,0.458333
4,2,4,0.416667
4,3,0,0.375
4,3,1,0.416667
4,3,2,0.458333
4,3,3,0.416667
4,3,4,0.375
4,4,0,0.333333
4,4,1,0.375
4,4,2,0.416667
4,4,3,0.375
4,4,4,0.333333
4,5,0,0.291667
4,5,1,0.333333
4,5,2,0.375
4,5,3,0.333333
4,5,4,0.291667
4,6,0,0.25
4,6,1,0.291667
4,6,2,0.333333
4,6,3,0.291667
4,6,4,0.25
4,7,0,0.208333
4,7,1,0.25
4,7,2,0.291667
4,7,3,0.25
4,7,4,0.208333
4,8,0,0.166667
4,8,1,0.208333
4,8,2,0.25
4,8,3,0.208333
4,8,4,0.166667
5,0,0,0
5,0,1,0.5
5,0,2,0.541667
5,0,3,0.5
5,0,4,0
5,1,0,0.5
5,1,1,0.541667
5,1,2,0.583333
5,1,3,0.541667
5,1,4,0.5
5,2,0,0.458333
5,2,1,0.5
5,2,2,0.541667
5,2,3,0.5
5,2,4,0.458333
5,3,0,0.416667
5,3,1,0.458333
5,3,2,0.5
5,3,3,0.458333
5,3,4,0.416667
5,4,0,0.375
5,4,1,0.416667
5,4,2,0.458333
5,4,3,0.416667
5,4,4,0.375
5,5,0,0
5,5,1,0.375
5,5,2,0.416667
5,5,3,0.375
5,5,4,0
5,6,0,0
5,6,1,0.25
5,6,2,0.291667
5,6,3,0.25
5,6,4,0
5,7,0,0
5,7,1,0.208333
5,7,2,0.25
5,7,3,0.208333
5,7,4,0
5,8,0,0
5,8,1,0.166667
5,8,2,0.208333
5,8,3,0.166667
5,8,4,0
6,0,0,0
6,0,1,0.541667
6,0,2,0.583333
6,0,3,0.541667
6,0,4,0
6,1,0,0.541667
6,1,1,0.583333
6,1,2,0.625
6,1,3,0.583333
6,1,4,0.541667
6,2,0,0.5
6,2,1,0.541667
6,2,2,0.583333
6,2,3,0.541667
6,2,4,0.5
6,3,0,0.458333
6,3,1,0.5
6,3,2,0.541667
6,3,3,0.5
6,3,4,0.458333
6,4,0,0.416667
6,4,1,0.458333
6,4,2,0.5
6,4,3,0.458333
6,4,4,0.416667
6,5,0,0
6,5,1,0.416667
6,5,2,0.458333
6,5,3,0.416667
6,5,4,0
6,6,0,0
6,6,1,0
6,6,2,0
6,6,3,0
6,6,4,0
6,7,0,0
6,7,1,0
6,7,2,0
6,7,3,0
6,7,4,0
6,8,0,0
6,8,1,0
6,8,2,0
6,8,3,0
6,8,4,0
7,0,0,0
7,0,1,0.583333
7,0,2,0.625
7,0,3,0.583333
7,0,4,0
7,1,0,0.583333
7,1,1,0.625
7,1,2,0.666667
7,1,3,0.625
7,1,4,0.583333
7,2,0,0.541667
7,2,1,0.583333
7,2,2,0.625
7,2,3,0.583333
7,2,4,0.541667
7,3,0,0.5
7,3,1,0.541667
7,3,2,0.583333
7,3,3,0.541667
7,3,4,0.5
7,4,0,0.458333
7,4,1,0.5
7,4,2,0.541667
7,4,3,0.5
7,4,4,0.458333
7,5,0,0
7,5,1,0.458333
7,5,2,0.5
7,5,3,0.458333
7,5,4,0
7,6,0,0
7,6,1,0
7,6,2,0
7,6,3,0
7,6,4,0
7,7,0,0
7,7,1,0
7,7,2,0
7,7,3,0
7,7,4,0
7,8,0,0
7,8,1,0
7,8,2,0
7,8,3,0
7,8,4,0
8,0,0,0
8,0,1,0.625
8,0,2,0.666667
8,0,3,0.625
8,0,4,0
8,1,0,0.625
8,1,1,0.666667
8,1,2,0.708333
8,1,3,0.666667
8,1,4,0.625
8,2,0,0.583333
8,2,1,0.625
8,2,2,0.666667
8,2,3,0.625
8,2,4,0.583333
8,3,0,0.541667
8,3,1,0.583333
8,3,2,0.625
8,3,3,0.583333
8,3,4,0.541667
8,4,0,0.5
8,4,1,0.541667
8,4,2,0.583333
8,4,3,0.541667
8,4,4,0.5
8,5,0,0
8,5,1,0.5
8,5,2,0.541667
8,5,3,0.5
8,5,4,0
8,6,0,0
8,6,1,0
8,6,2,0
8,6,3,0
8,6,4,0
8,7,0,0
8,7,1,0
8,7,2,0
8,7,3,0
8,7,4,0
8,8,0,0
8,8,1,0
8,8,2,0
8,8,3,0
8,8,4,0
9,0,0,0
9,0,1,0.666667
9,0,2,0.708333
9,0,3,0.666667
9,0,4,0
9,1,0,0.666667
9,1,1,0.708333
9,1,2,0.75
9,1,3,0.708333
9,1,4,0.666667
9,2,0,0.625
9,2,1,0.666667
9,2,2,0.708333
9,2,3,0.666667
9,2,4,0.625
9,3,0,0.583333
9,3,1,0.625
9,3,2,0.666667
9,3,3,0.625
9,3,4,0.583333
9,4,0,0.541667
9,4,1,0.583333
9,4,2,0.625
9,4,3,0.583333
9,4,4,0.541667
9,5,0,0
9,5,1,0.541667
9,5,2,0.583333
9,5,3,0.541667
9,5,4,0
9,6,0,0
9,6,1,0.5
9,6,2,0.541667
9,6,3,0.5
9,6,4,0
9,7,0,0
9,7,1,0.458333
9,7,2,0.5
9,7,3,0.458333
9,7,4,0
9,8,0,0
9,8,1,0.416667
9,8,2,0.458333
9,8,3,0.416667
9,8,4,0
10,0,0,0
10,0,1,0.708333
10,0,2,0.75
10,0,3,0.708333
10,0,4,0
10,1,0,0.708333
10,1,1,0.75
10,1,2,0.791667
10,1,3,0.75
10,1,4,0.708333
10,2,0,0.666667
10,2,1,0.708333
10,2,2,0.75
10,2,3,0.708333
10,2,4,0.666667
10,3,0,0.625
10,3,1,0.666667
10,3,2,0.708333
10,3,3,0.666667
10,3,4,0.625
10,4,0,0.583333
10,4,1,0.625
10,4,2,0.666667
10,4,3,0.625
10,4,4,0.583333
10,5,0,0.541667
10,5,1,0.583333
10,5,2,0.625
10,5,3,0.583333
10,5,4,0.541667
10,6,0,0.5
10,6,1,0.541667
10,6,2,0.583333
10,6,3,0.541667
10,6,4,0.5
10,7,0,0.458333
10,7,1,0.5
10,7,2,0.541667
10,7,3,0.5
10,7,4,0.458333
10,8,0,0.416667
10,8,1,0.458333
10,8,2,0.5
10,8,3,0.458333
10,8,4,0.416667
11,0,0,0
11,0,1,0.75
11,0,2,0.791667
11,0,3,0.75
11,0,4,0
11,1,0,0.75
11,1,1,0.791667
11,1,2,0.833333
11,1,3,0.791667
11,1,4,0.75
11,2,0,0.708333
11,2,1,0.75
11,2,2,0.791667
11,2,3,0.75
11,2,4,0.708333
11,3,0,0.666667
11,3,1,0.708333
11,3,2,0.75
11,3,3,0.708333
11,3,4,0.666667
11,4,0,0.625
11,4,1,0.666667
11,4,2,0.708333
11,4,3,0.666667
11,4,4,0.625
11,5,0,0.583333
11,5,1,0.625
11,5,2,0.666667
11,5,3,0.625
11,5,4,0.583333
11,6,0,0.541667
11,6,1,0.583333
11,6,2,0.625
11,6,3,0.583333
11,6,4,0.541667
11,7,0,0.5
11,7,1,0.541667
11,7,2,0.583333
11,7,3,0.541667
11,7,4,0.5
11,8,0,0.458333
11,8,1,0.5
11,8,2,0.541667
11,8,3,0.5
11,8,4,0.458333
12,0,0,0
12,0,1,0.791667
12,0,2,0.833333
12,0,3,0.791667
12,0,4,0
12,1,0,0.791667
12,1,1,0.833333
12,1,2,0.875
12,1,3,0.833333
12,1,4,0.791667
12,2,0,0.75
12,2,1,0.791667
12,2,2,0.833333
12,2,3,0.791667
12,2,4,0.75
12,3,0,0.708333
12,3,1,0.75
12,3,2,0.791667
12,3,3,0.75
12,3,4,0.708333
12,4,0,0.666667
12,4,1,0.708333
12,4,2,0.75
12,4,3,0.708333
12,4,4,0.666667
12,5,0,0.625
12,5,1,0.666667
12,5,2,0.708333
12,5,3,0.666667
12,5,4,0.625
12,6,0,0.583333
12,6,1,0.625
12,6,2,0.666667
12,6,3,0.625
12,6,4,0.583333
12,7,0,0.541667
12,7,1,0.583333
12,7,2,0.625
12,7,3,0.583333
12,7,4,0.541667
12,8,0,0.5
12,8,1,0.541667
12,8,2,0.583333
12,8,3,0.541667
12,8,4,0.5
13,0,0,0
13,0,1,0.833333
13,0,2,0.875
13,0,3,0.833333
13,0,4,0
13,1,0,0.833333
13,1,1,0.875
13,1,2,0.916667
13,1,3,0.875
13,1,4,0.833333
13,2,0,0.791667
13,2,1,0.833333
13,2,2,0.875
13,2,3,0.833333
13,2,4,0.791667
13,3,0,0.75
13,3,1,0.791667
13,3,2,0.833333
13,3,3,0.791667
13,3,4,0.75
13,4,0,0.708333
13,4,1,0.75
13,4,2,0.791667
13,4,3,0.75
13,4,4,0.708333
13,5,0,0.666667
13,5,1,0.708333
13,5,2,0.75
13,5,3,0.708333
13,5,4,0.666667
13,6,0,0.625
13,6,1,0.666667
13,6,2,0.708333
13,6,3,0.666667
13,6,4,0.625
13,7,0,0.583333
13,7,1,0.625
13,7,2,0.666667
13,7,3,0.625
13,7,4,0.583333
13,8,0,0.541667
13,8,1,0.583333
13,8,2,0.625
13,8,3,0.583333
13,8,4,0.541667
14,0,0,0
14,0,1,0.875
14,0,2,0.916667
14,0,3,0.875
14,0,4,0
14,1,0,0.875
14,1,1,0.916667
14,1,2,0.958333
14,1,3,0.916667
14,1,4,0.875
14,2,0,0.833333
14,2,1,0.875
14,2,2,0.916667
14,2,3,0.875
14,2,4,0.833333
14,3,0,0.791667
14,3,1,0.833333
14,3,2,0.875
14,3,3,0.833333
14,3,4,0.791667
14,4,0,0.75
14,4,1,0.791667
14,4,2,0.833333
14,4,3,0.791667
14,4,4,0.75
14,5,0,0.708333
14,5,1,0.75
14,5,2,0.791667
14,5,3,0.75
14,5,4,0.708333
14,6,0,0.666667
14,6,1,0.708333
14,6,2,0.75
14,6,3,0.708333
14,6,4,0.666667
14,7,0,0.625
14,7,1,0.666667
14,7,2,0.708333
14,7,3,0.666667
14,7,4,0.625
14,8,0,0.583333
14,8,1,0.625
14,8,2,0.666667
14,8,3,0.625
14,8,4,0.583333
15,0,0,0
15,0,1,0.916667
15,0,2,0.958333
15,0,3,0.916667
15,0,4,0
15,1,0,0.916667
15,1,1,0.958333
15,1,2,1
15,1,3,0.958333
15,1,4,0.916667
15,2,0,0.875
15,2,1,0.916667
15,2,2,0.958333
15,2,3,0.916667
15,2,4,0.875
15,3,0,0.833333
15,3,1,0.875
15,3,2,0.916667
15,3,3,0.875
15,3,4,0.833333
15,4,0,0.791667
15,4,1,0.833333
15,4,2,0.875
15,4,3,0.833333
15,4,4,0.791667
15,5,0,0.75
15,5,1,0.791667
15,5,2,0.833333
15,5,3,0.791667
15,5,4,0.75
15,6,0,0.708333
15,6,1,0.75
15,6,2,0.791667
15,6,3,0.75
15,6,4,0.708333
15,7,0,0.666667
15,7,1,0.708333
15,7,2,0.75
15,7,3,0.708333
15,7,4,0.666667
15,8,0,0.625
15,8,1,0.666667
15,8,2,0.708333
15,8,3,0.666667
15,8,4,0.625
